codigo_departamento;codigo_municipio;nombre_departamento;nombre_municipio;departamento_guid
05;05364;ANTIOQUIA;JARDÍN;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05368;ANTIOQUIA;JERICÓ;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05376;ANTIOQUIA;LA CEJA;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05380;ANTIOQUIA;LA ESTRELLA;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05390;ANTIOQUIA;LA PINTADA;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05400;ANTIOQUIA;LA UNIÓN;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05411;ANTIOQUIA;LIBORINA;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05425;ANTIOQUIA;MACEO;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05440;ANTIOQUIA;MARINILLA;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05467;ANTIOQUIA;MONTEBELLO;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05475;ANTIOQUIA;MURINDÓ;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05480;ANTIOQUIA;MUTATÁ;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05483;ANTIOQUIA;NARIÑO;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05490;ANTIOQUIA;NECOCLÍ;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05495;ANTIOQUIA;NECHÍ;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05501;ANTIOQUIA;OLAYA;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05541;ANTIOQUIA;PEÑOL;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05543;ANTIOQUIA;PEQUE;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05576;ANTIOQUIA;PUEBLORRICO;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05579;ANTIOQUIA;PUERTO BERRÍO;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05585;ANTIOQUIA;PUERTO NARE;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05591;ANTIOQUIA;PUERTO TRIUNFO;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05604;ANTIOQUIA;REMEDIOS;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05607;ANTIOQUIA;RETIRO;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05615;ANTIOQUIA;RIONEGRO;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05628;ANTIOQUIA;SABANALARGA;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05631;ANTIOQUIA;SABANETA;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05642;ANTIOQUIA;SALGAR;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05647;ANTIOQUIA;SAN ANDRÉS DE CUERQUÍA;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05649;ANTIOQUIA;SAN CARLOS;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05652;ANTIOQUIA;SAN FRANCISCO;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05656;ANTIOQUIA;SAN JERÓNIMO;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05658;ANTIOQUIA;SAN JOSÉ DE LA MONTAÑA;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05659;ANTIOQUIA;SAN JUAN DE URABÁ;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05660;ANTIOQUIA;SAN LUIS;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05664;ANTIOQUIA;SAN PEDRO DE LOS MILAGROS;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05665;ANTIOQUIA;SAN PEDRO DE URABÁ;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05667;ANTIOQUIA;SAN RAFAEL;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05670;ANTIOQUIA;SAN ROQUE;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05674;ANTIOQUIA;SAN VICENTE FERRER;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
